emoji,words,category
🤽‍♂,man playing water polo | man | playing | polo,person sport
🤾,person playing handball | athletics | ball | catch,person sport
🤾‍♀,woman playing handball | athletics | ball | catch,person sport
🤾‍♂,man playing handball | athletics | ball | catch,person sport
🤿,diving mask | diving | mask | scuba,sport
🥀,wilted flower | dying | flower | wilted,plant flower
🥁,drum | drumsticks | music,musical instrument
🥂,clinking glasses | celebrate | clink | clinking,drink
🥃,tumbler glass | glass | liquor | scotch,drink
🥄,spoon | eat | tableware,dishware
🥅,goal net | goal | net,sport
🥇,1st place medal | 1st | first | gold,award medal
🥈,2nd place medal | 2nd | medal | place,award medal
🥉,3rd place medal | 3rd | bronze | medal,award medal
🥊,boxing glove | boxing | glove,sport
🥋,martial arts uniform | arts | judo | karate,sport
🥌,curling stone | curling | game | rock,sport
🥍,lacrosse | ball | goal | sports,sport
🥎,softball | ball | glove | sports,sport
🥏,flying disc | disc | flying | ultimate,sport
🥐,croissant | bread | breakfast | crescent,food prepared
🥑,avocado | food | fruit,food vegetable
🥒,cucumber | food | pickle | vegetable,food vegetable
🥓,bacon | breakfast | food | meat,food prepared
🥔,potato | food | vegetable,food vegetable
🥕,carrot | food | vegetable,food vegetable
🥖,baguette bread | baguette | bread | food,food prepared
🥗,green salad | food | green | salad,food prepared
🥘,shallow pan of food | casserole | food | paella,food prepared
🥙,stuffed flatbread | falafel | flatbread | food,food prepared
🥚,egg | breakfast | food,food prepared
🥛,glass of milk | drink | glass | milk,drink
🥜,peanuts | food | nut | peanut,food vegetable
🥝,kiwi fruit | food | fruit | kiwi,food fruit
🥞,pancakes | breakfast | food | hotcake,food prepared
🥟,dumpling | empanada | jiaozi | pierogi,food asian
🥠,fortune cookie | cookie | fortune | prophecy,food asian
🥡,takeout box | box | chopsticks | delivery,food asian
🥢,chopsticks | hashi | jeotgarak | kuaizi,dishware
🥣,bowl with spoon | bowl | breakfast | cereal,food prepared
🥤,cup with straw | cup | drink | juice,drink
🥥,coconut | colada | palm,food fruit
🥦,broccoli | cabbage | wild,food vegetable
🥧,pie | apple | filling | fruit,food sweet
🥨,pretzel | convoluted | twisted,food prepared
🥩,cut of meat | chop | cut | lambchop,food prepared
🥪,sandwich | bread,food prepared
🥫,canned food | can | canned | food,food prepared
🥬,leafy green | bok | burgers | cabbage,food vegetable
🥭,mango | food | fruit | tropical,food fruit
🥮,moon cake | autumn | cake | festival,food asian
🥯,bagel | bakery | bread | breakfast,food prepared
🥰,smiling face with hearts | three | adore | crush,face affection
🥱,yawning | bedtime | bored | face,face concerned
🥲,smiling face with tear | face | glad | grateful,face affection
🥳,partying | bday | birthday | celebrate,face hat
🥴,woozy | dizzy | drunk | eyes,face unwell
🥵,hot | dying | face | feverish,face unwell
🥶,cold | blue | blue-faced | face,face unwell
🥷,ninja | assassin | fight | fighter,person role
🥸,disguised | disguise | eyebrow | face,face hat
🥹,face holding back tears | admiration | aww | back,face concerned
🥺,pleading | begging | big | eyes,face concerned
🥻,sari | clothing | dress,clothing
🥼,lab coat | clothes | coat | doctor,clothing
🥽,goggles | dive | eye | protection,clothing
🥾,hiking boot | backpacking | boot | brown,clothing
🥿,flat shoe | ballet | comfy | flat,clothing
🦀,crab | cancer | zodiac,animal marine
🦁,lion | alpha | animal | face,animal mammal
🦂,scorpion | scorpio | scorpius | zodiac,animal bug
🦃,turkey | bird | gobble | thanksgiving,animal bird
🦄,unicorn | face,animal mammal
🦅,eagle | animal | bird | ornithology,animal bird
🦆,duck | animal | bird | ornithology,animal bird
🦇,bat | animal | vampire,animal mammal
🦈,shark | animal | fish,animal marine
🦉,owl | animal | bird | ornithology,animal bird
🦊,fox | animal | face,animal mammal
🦋,butterfly | insect | pretty,animal bug
🦌,deer | animal,animal mammal
🦍,gorilla | animal,animal mammal
🦎,lizard | animal | reptile,animal reptile
🦏,rhinoceros | animal,animal mammal
🦐,shrimp | food | shellfish | small,animal marine
🦑,squid | animal | food | mollusk,animal marine
🦒,giraffe | animal | spots,animal mammal
🦓,zebra | animal | stripe,animal mammal
🦔,hedgehog | animal | spiny,animal mammal
🦕,sauropod | brachiosaurus | brontosaurus | dinosaur,animal reptile
🦖,t-rex | dinosaur | rex | tyrannosaurus,animal reptile
🦗,cricket | animal | bug | grasshopper,animal bug
🦘,kangaroo | animal | joey | jump,animal mammal
🦙,llama | alpaca | animal | guanaco,animal mammal
🦚,peacock | animal | bird | colorful,animal bird
🦛,hippopotamus | animal | hippo,animal mammal
🦜,parrot | animal | bird | ornithology,animal bird
🦝,raccoon | animal | curious | sly,animal mammal
🦞,lobster | animal | bisque | claws,animal marine
🦟,mosquito | bite | disease | fever,animal bug
🦠,microbe | amoeba | bacteria | science,animal bug
🦡,badger | animal | honey | pester,animal mammal
🦢,swan | animal | bird | cygnet,animal bird
🦣,mammoth | animal | extinction | large,animal mammal
🦤,dodo | animal | bird | extinction,animal bird
🦥,sloth | lazy | slow,animal mammal
🦦,otter | animal | fishing | playful,animal mammal
🦧,orangutan | animal | ape | monkey,animal mammal
🦨,skunk | animal | stink,animal mammal
🦩,flamingo | animal | bird | flamboyant,animal bird
🦪,oyster | diving | pearl,animal marine
🦫,beaver | animal | dam | teeth,animal mammal
🦬,bison | animal | buffalo | herd,animal mammal
🦭,seal | animal | lion | ocean,animal marine
🦮,guide dog | accessibility | animal | blind,animal mammal
🦯,white cane | accessibility | blind | cane,tool
🦴,bone | bones | dog | skeleton,body parts
🦵,leg | bent | foot | kick,body parts
🦶,foot | ankle | feet | kick,body parts
🦷,tooth | dentist | pearly | teeth,body parts
🦸,superhero | good | hero | superpower,person fantasy
🦸‍♀,woman superhero | good | hero | heroine,person fantasy
🦸‍♂,man superhero | good | hero | man,person fantasy
🦹,supervillain | bad | criminal | evil,person fantasy
🦹‍♀,woman supervillain | bad | criminal | evil,person fantasy
🦹‍♂,man supervillain | bad | criminal | evil,person fantasy
🦺,safety vest | emergency | safety | vest,clothing
🦻,ear with hearing aid | accessibility | aid | ear,body parts
